[10May2025 00:09:42.763] [Server thread/INFO] [net.minecraft.server.MinecraftServer/]: Zhair16 has made the advancement [Incendium]
[10May2025 00:09:42.766] [Server thread/INFO] [net.minecraft.server.MinecraftServer/]: Zhair16 has made the advancement [We Need to Go Deeper]
[10May2025 00:10:10.832] [Server thread/WARN] [net.minecraft.server.MinecraftServer/]: Can't keep up! Is the server overloaded? Running 46331ms or 926 ticks behind
[10May2025 00:10:13.173] [Server thread/INFO] [net.minecraft.server.MinecraftServer/]: KMRgamerotaku has made the advancement [Incendium]
[10May2025 00:10:13.173] [Server thread/INFO] [net.minecraft.server.MinecraftServer/]: KMRgamerotaku has made the advancement [We Need to Go Deeper]
[10May2025 00:10:15.011] [Worker-Main-9/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-6, -6], pos: MutableBlockPos{x=-93, y=118, z=-96}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / hearths:minecraft/nether_wastes/netherrack_lakes]
[10May2025 00:10:15.011] [Worker-Main-9/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-6, -6], pos: MutableBlockPos{x=-93, y=117, z=-96}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / hearths:minecraft/nether_wastes/netherrack_lakes]
[10May2025 00:10:15.068] [Worker-Main-89/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-6, -7], pos: MutableBlockPos{x=-85, y=95, z=-111}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / hearths:minecraft/nether_wastes/netherrack_lakes]
[10May2025 00:10:15.078] [Worker-Main-89/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-6, -8], pos: MutableBlockPos{x=-87, y=75, z=-128}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / hearths:minecraft/nether_wastes/blackstone_lakes]
[10May2025 00:10:15.078] [Worker-Main-89/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-6, -8], pos: MutableBlockPos{x=-86, y=75, z=-128}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / hearths:minecraft/nether_wastes/blackstone_lakes]
[10May2025 00:10:15.078] [Worker-Main-89/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-6, -8], pos: MutableBlockPos{x=-85, y=74, z=-128}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / hearths:minecraft/nether_wastes/blackstone_lakes]
[10May2025 00:10:15.078] [Worker-Main-89/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-6, -8], pos: MutableBlockPos{x=-84, y=74, z=-128}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / hearths:minecraft/nether_wastes/blackstone_lakes]
[10May2025 00:10:15.079] [Worker-Main-89/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-6, -8], pos: MutableBlockPos{x=-84, y=73, z=-128}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / hearths:minecraft/nether_wastes/blackstone_lakes]
[10May2025 00:10:15.079] [Worker-Main-89/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-6, -8], pos: MutableBlockPos{x=-84, y=72, z=-128}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / hearths:minecraft/nether_wastes/blackstone_lakes]
[10May2025 00:10:15.079] [Worker-Main-89/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-6, -8], pos: MutableBlockPos{x=-83, y=74, z=-128}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / hearths:minecraft/nether_wastes/blackstone_lakes]
[10May2025 00:10:15.079] [Worker-Main-89/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-6, -8], pos: MutableBlockPos{x=-83, y=73, z=-128}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / hearths:minecraft/nether_wastes/blackstone_lakes]
[10May2025 00:10:15.079] [Worker-Main-89/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-6, -8], pos: MutableBlockPos{x=-83, y=72, z=-128}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / hearths:minecraft/nether_wastes/blackstone_lakes]
[10May2025 00:10:15.079] [Worker-Main-89/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-6, -8], pos: MutableBlockPos{x=-82, y=74, z=-128}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / hearths:minecraft/nether_wastes/blackstone_lakes]
[10May2025 00:10:15.079] [Worker-Main-89/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-6, -8], pos: MutableBlockPos{x=-82, y=73, z=-128}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / hearths:minecraft/nether_wastes/blackstone_lakes]
[10May2025 00:10:15.080] [Worker-Main-89/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-6, -8], pos: MutableBlockPos{x=-82, y=72, z=-128}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / hearths:minecraft/nether_wastes/blackstone_lakes]
[10May2025 00:10:15.080] [Worker-Main-89/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-6, -8], pos: MutableBlockPos{x=-81, y=74, z=-128}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / hearths:minecraft/nether_wastes/blackstone_lakes]
[10May2025 00:10:15.080] [Worker-Main-89/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-6, -8], pos: MutableBlockPos{x=-81, y=73, z=-128}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / hearths:minecraft/nether_wastes/blackstone_lakes]
[10May2025 00:10:15.080] [Worker-Main-89/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-6, -8], pos: MutableBlockPos{x=-81, y=72, z=-128}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / hearths:minecraft/nether_wastes/blackstone_lakes]
[10May2025 00:10:15.080] [Worker-Main-89/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-5, -8], pos: MutableBlockPos{x=-80, y=74, z=-128}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / hearths:minecraft/nether_wastes/blackstone_lakes]
[10May2025 00:10:15.080] [Worker-Main-89/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-5, -8], pos: MutableBlockPos{x=-80, y=73, z=-128}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / hearths:minecraft/nether_wastes/blackstone_lakes]
[10May2025 00:10:15.081] [Worker-Main-89/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-5, -8], pos: MutableBlockPos{x=-80, y=72, z=-128}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / hearths:minecraft/nether_wastes/blackstone_lakes]
[10May2025 00:10:15.081] [Worker-Main-89/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-5, -8], pos: MutableBlockPos{x=-79, y=74, z=-128}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / hearths:minecraft/nether_wastes/blackstone_lakes]
[10May2025 00:10:15.081] [Worker-Main-89/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-5, -8], pos: MutableBlockPos{x=-79, y=73, z=-128}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / hearths:minecraft/nether_wastes/blackstone_lakes]
[10May2025 00:10:15.081] [Worker-Main-89/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-5, -8], pos: MutableBlockPos{x=-79, y=72, z=-128}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / hearths:minecraft/nether_wastes/blackstone_lakes]
[10May2025 00:10:15.081] [Worker-Main-89/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-6, -8], pos: MutableBlockPos{x=-85, y=74, z=-127}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / hearths:minecraft/nether_wastes/blackstone_lakes]
[10May2025 00:10:15.081] [Worker-Main-89/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-6, -8], pos: MutableBlockPos{x=-85, y=73, z=-127}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / hearths:minecraft/nether_wastes/blackstone_lakes]
[10May2025 00:10:15.081] [Worker-Main-89/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-6, -8], pos: MutableBlockPos{x=-84, y=74, z=-127}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / hearths:minecraft/nether_wastes/blackstone_lakes]
[10May2025 00:10:15.081] [Worker-Main-89/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-6, -8], pos: MutableBlockPos{x=-84, y=73, z=-127}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / hearths:minecraft/nether_wastes/blackstone_lakes]
[10May2025 00:10:15.081] [Worker-Main-89/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-6, -8], pos: MutableBlockPos{x=-84, y=72, z=-127}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / hearths:minecraft/nether_wastes/blackstone_lakes]
